id,timestamp,temperature,humidity
1,1699700611,20.2,46.4
2,1699701009,20.2,46.4
3,1699701608,20.4,47.3
4,1685085263,20.1,50.0
5,1685085603,20.1,50.0
6,1685086203,20.1,50.0
7,1685086451,20.1,50.0
8,1685086803,20.1,50.0
9,1685087403,20.1,49.9
10,1685088004,20.1,50.0
11,1685088603,20.2,50.0
12,1685089203,20.2,50.0
13,1685089803,20.1,49.9
14,1685090403,20.2,49.9
15,1685091003,20.1,49.9
16,1685092203,20.1,49.9
17,1685092803,20.2,49.9
18,1685093403,20.2,49.9
19,1685094003,20.4,49.7
20,1685094603,20.5,49.6
21,1685095803,20.6,49.4
22,1685096403,20.7,49.4
23,1685097602,20.9,49.5
24,1685098202,20.9,49.4
25,1685098802,21.0,49.8
26,1685099402,21.0,49.8
27,1685100003,21.1,49.9
28,1685100603,21.1,50.2
29,1685101203,21.1,50.2
30,1685101803,21.0,50.8
31,1685102403,21.3,50.5
32,1685103003,21.4,50.6
33,1685103602,21.6,50.2
34,1685104203,21.7,50.4
35,1685104802,21.7,51.6
36,1685105402,21.7,51.9
37,1685106003,21.7,51.3
38,1685106602,21.5,52.2
39,1685107203,21.5,51.9
40,1685107803,21.4,51.7
41,1685108402,21.5,51.8
42,1685109603,21.5,51.5
43,1685110203,21.4,52.0
44,1685110802,21.5,52.2
45,1685111402,21.4,52.0
46,1685112003,21.4,52.0
47,1685112603,21.6,51.7
48,1685113203,21.6,51.7
49,1685113803,21.6,51.3
50,1685114402,21.5,51.3
51,1685115602,21.5,51.5
52,1685116202,21.5,52.0
53,1685118003,21.5,51.9
54,1685119803,21.5,50.6
55,1685120403,21.5,50.2
56,1685121003,21.4,50.1
57,1685121603,21.4,50.0
58,1685122203,21.5,49.6
59,1685122803,21.5,48.9
60,1685123403,21.5,49.0
61,1685124003,21.5,47.3
62,1685124603,21.5,48.3
63,1685125203,21.4,48.1
64,1685125803,21.5,48.0
65,1685126403,21.5,48.0
66,1685127002,21.2,44.4
67,1685128203,21.1,44.3
68,1685128802,21.0,44.2
69,1685129402,21.0,45.1
70,1685130002,21.0,45.1
71,1685130602,21.3,46.4
72,1685131203,21.3,46.9
73,1685131803,21.3,47.1
74,1685132403,21.3,47.3
75,1685133003,21.3,47.6
76,1685133603,21.3,47.6
77,1685134202,21.3,48.0
78,1685135403,21.2,48.2
79,1685136003,21.2,48.2
80,1685136603,21.2,48.5
81,1685137203,21.2,48.5
82,1685137803,21.2,48.5
83,1685139003,21.2,48.6
84,1685139602,21.2,48.6
85,1685140803,21.2,48.6
86,1685141403,21.2,48.5
87,1685142003,21.1,48.5
88,1685142603,21.1,48.5
89,1685143203,21.1,48.5
90,1685143803,21.1,48.5
91,1685144403,21.1,48.5
92,1685145003,21.1,48.5
93,1685145603,21.1,48.5
94,1685146202,21.1,49.2
95,1685146802,21.1,49.1
96,1685147402,21.1,49.0
97,1685148003,21.1,49.0
98,1685148603,21.1,49.0
99,1685149202,21.1,48.6
100,1685149803,21.2,48.6
101,1685150402,21.1,48.1
102,1685151002,21.1,47.9
103,1685152202,21.0,47.5
104,1685152802,20.9,47.4
105,1685154002,20.9,47.4
106,1685154602,20.8,47.4
107,1685155202,20.9,47.4
108,1685155802,20.8,47.8
109,1685157002,20.7,47.7
110,1685157603,20.7,47.7
111,1685158203,20.6,47.6
112,1685158803,20.6,47.5
113,1685159403,20.6,47.6
114,1685160603,20.5,47.7
115,1685161203,20.5,47.7
116,1685161803,20.5,47.6
117,1685162403,20.4,47.5
118,1685163003,20.4,47.3
119,1685163603,20.4,47.2
120,1685164203,20.4,47.2
121,1685164803,20.4,47.1
122,1685165403,20.3,46.9
123,1685166003,20.3,46.9
124,1685166602,20.3,46.8
125,1685167202,20.3,46.8
126,1685167802,20.3,46.8
127,1685168403,20.3,46.7
128,1685169002,20.3,46.7
129,1685170203,20.3,46.5
130,1685171403,20.3,46.2
131,1685172003,20.2,46.3
132,1685172603,20.3,46.3
133,1685173202,20.2,46.3
134,1685173802,20.2,46.2
135,1685174402,20.2,46.4
136,1685175002,20.2,46.5
137,1685175603,20.2,46.6
138,1685176203,20.2,46.6
139,1685176803,20.2,47.0
140,1685177402,20.2,47.1
141,1685178003,20.3,47.2
142,1685178603,20.3,47.2
143,1685179203,20.3,47.5
144,1685179803,20.3,47.5
145,1685180403,20.5,47.3
146,1685181003,20.7,47.1
147,1685181603,20.8,47.1
148,1685182202,20.8,47.1
149,1685182802,20.8,47.1
150,1685184003,20.9,47.3
151,1685184602,20.9,47.3
152,1685185202,20.9,47.7
153,1685185802,20.9,47.7
154,1685186403,21.0,47.8
155,1685187603,21.3,48.0
156,1685188203,21.7,47.2
157,1685188803,21.7,47.3
158,1685189403,22.0,48.9
159,1685190003,22.2,52.7
160,1685190603,22.2,52.7
161,1685191203,22.2,51.3
162,1685191803,22.1,49.6
163,1685192403,22.1,49.6
164,1685193603,22.1,50.2
165,1685194202,22.1,50.2
166,1685194802,22.1,50.2
167,1685195403,22.1,50.8
168,1685196003,22.2,50.7
169,1685197202,22.5,51.8
170,1685198403,22.2,55.7
171,1685199003,22.2,55.5
172,1685199603,22.1,55.2
173,1685200202,22.0,55.0
174,1685200803,22.0,54.9
175,1685201403,22.0,54.9
176,1685202003,22.0,54.7
177,1685202603,21.9,54.7
178,1685203203,22.0,54.7
179,1685203803,21.9,54.6
180,1685204403,21.9,54.7
181,1685205003,21.9,54.7
182,1685205603,21.9,54.6
183,1685206803,21.9,54.4
184,1685207405,21.8,54.2
185,1685208003,21.8,54.1
186,1685208603,21.8,54.1
187,1685209202,21.8,54.2
188,1685209802,21.8,54.1
189,1685210403,21.7,53.9
190,1685211002,21.7,53.9
191,1685211602,21.7,53.9
192,1685212803,21.6,53.5
193,1685213403,21.6,53.5
194,1685214003,21.6,53.4
195,1685214602,21.5,53.4
196,1685215202,21.6,53.4
197,1685215802,21.5,53.4
198,1685216402,21.5,53.5
